DATAFLOW,FREQ: Frequency,EU_NORM: EU Norm,SPECIFICATION: Specification,TIME_PERIOD: Time period,OBS_VALUE,NOTE_NORM_3: Note EU Norm,NOTE_NORM_2: Note EU Norm,NOTE_NORM_1: Note EU Norm,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_A3200(1.1),A: Annual,SL13: 5,SL13: cadmium (Cd) (in ng/m³),2019,0.3,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL13: 5,SL13: cadmium (Cd) (in ng/m³),2020,0.3,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL13: 5,SL13: cadmium (Cd) (in ng/m³),2021,0.3,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL13: 5,SL13: cadmium (Cd) (in ng/m³),2022,0.3,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,L01: -,L01: Pollution,2018,,,,,,,L01: Definitions : Air pollution,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,L01: -,L01: Pollution,2019,,,,,,,L01: Definitions : Air pollution,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,L01: -,L01: Pollution,2020,,,,,,,L01: Definitions : Air pollution,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,L01: -,L01: Pollution,2021,,,,,,,L01: Definitions : Air pollution,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,L01: -,L01: Pollution,2022,,,,,,,L01: Definitions : Air pollution,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL12: 6,SL12: arsenic (As) (in ng/m³),2018,3.6,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL12: 6,SL12: arsenic (As) (in ng/m³),2019,3.9,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL12: 6,SL12: arsenic (As) (in ng/m³),2020,0.7,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL12: 6,SL12: arsenic (As) (in ng/m³),2021,0.7,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL12: 6,SL12: arsenic (As) (in ng/m³),2022,0.7,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL03: 30,"SL03: nitrogen oxides (NOx=NO+NO2, in rural area) (in µg/m³)",2018,16,,S03: Protection of the vegetation.,S02: Annual average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL03: 30,"SL03: nitrogen oxides (NOx=NO+NO2, in rural area) (in µg/m³)",2019,16,,S03: Protection of the vegetation.,S02: Annual average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL03: 30,"SL03: nitrogen oxides (NOx=NO+NO2, in rural area) (in µg/m³)",2020,13,,S03: Protection of the vegetation.,S02: Annual average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL03: 30,"SL03: nitrogen oxides (NOx=NO+NO2, in rural area) (in µg/m³)",2021,11,,S03: Protection of the vegetation.,S02: Annual average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL03: 30,"SL03: nitrogen oxides (NOx=NO+NO2, in rural area) (in µg/m³)",2022,13,,S03: Protection of the vegetation.,S02: Annual average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL09: 50,"SL09: particulate matter (PM10, <10 µm) (in µg/m³)",2018,78,,,S07: Average over 24 hours.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL09: 50,"SL09: particulate matter (PM10, <10 µm) (in µg/m³)",2019,66,,,S07: Average over 24 hours.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL09: 50,"SL09: particulate matter (PM10, <10 µm) (in µg/m³)",2020,90,,,S07: Average over 24 hours.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL09: 50,"SL09: particulate matter (PM10, <10 µm) (in µg/m³)",2021,90,,,S07: Average over 24 hours.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL09: 50,"SL09: particulate matter (PM10, <10 µm) (in µg/m³)",2022,78,,,S07: Average over 24 hours.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL01: 350,SL01: sulphur dioxide (SO2) (in µg/m³),2018,30,,,S01: Hourly average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL01: 350,SL01: sulphur dioxide (SO2) (in µg/m³),2019,52.7,,,S01: Hourly average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL01: 350,SL01: sulphur dioxide (SO2) (in µg/m³),2020,26,,,S01: Hourly average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL01: 350,SL01: sulphur dioxide (SO2) (in µg/m³),2021,28,,,S01: Hourly average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL01: 350,SL01: sulphur dioxide (SO2) (in µg/m³),2022,15,,,S01: Hourly average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL04: -,SL04: ozone (O3) (in µg/m³),2018,220,S05: 240: alert threshold (3 consecutive hours).,S04: 180: information threshold for the population (1 hour).,S01: Hourly average.,,,SL04: 180 = point at which population is informed and 240 = warning level.,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL04: -,SL04: ozone (O3) (in µg/m³),2019,207,S05: 240: alert threshold (3 consecutive hours).,S04: 180: information threshold for the population (1 hour).,S01: Hourly average.,,,SL04: 180 = point at which population is informed and 240 = warning level.,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL04: -,SL04: ozone (O3) (in µg/m³),2020,172,S05: 240: alert threshold (3 consecutive hours).,S04: 180: information threshold for the population (1 hour).,S01: Hourly average.,,,SL04: 180 = point at which population is informed and 240 = warning level.,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL04: -,SL04: ozone (O3) (in µg/m³),2021,164,S05: 240: alert threshold (3 consecutive hours).,S04: 180: information threshold for the population (1 hour).,S01: Hourly average.,,,SL04: 180 = point at which population is informed and 240 = warning level.,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL04: -,SL04: ozone (O3) (in µg/m³),2022,169,S05: 240: alert threshold (3 consecutive hours).,S04: 180: information threshold for the population (1 hour).,S01: Hourly average.,,,SL04: 180 = point at which population is informed and 240 = warning level.,spec: Highest recorded value.,,0: Zero
